9,12,13,14,15,16,17,code,context,question,fix,answers.all.A,answers.all.B,answers.text,answers.start_index,fact or implied,NP-RC,NP-RC edit,NP-NRC,Correct
Final,612376826a580ca0368bb19f,LC-U-PM,the classmate  tattled on the girl who was passed a note.,Who was tattled on?,G,girl,LC-U-PM,the classmate  tattled on the girl who was passed a note.,Who was tattled on?,,"the girl who was passed a note
the girl","the girl who was passed a note
the girl
girl who was passed a note
girl",the girl,26,F,the girl who was passed a note,the girl,the classmate,1
Final,611e182dfe4a100e7d271c7e,LC-U-PM,the classmate  tattled on the girl who was passed a note.,Who was tattled on?,G,student,LC-U-PM,the classmate  tattled on the girl who was passed a note.,Who was tattled on?,,"the girl who was passed a note
the girl","the girl who was passed a note
the girl
girl who was passed a note
girl",the girl,26,F,the girl who was passed a note,the girl,the classmate,0
Final,5f983f3b00bbab0c4b28149a,LC-U-PM,the classmate  tattled on the girl who was passed a note.,Who was tattled on?,G,the girl.,LC-U-PM,the classmate  tattled on the girl who was passed a note.,Who was tattled on?,,"the girl who was passed a note
the girl","the girl who was passed a note
the girl
girl who was passed a note
girl",the girl,26,F,the girl who was passed a note,the girl,the classmate,1
Final,5e1aeccbd32f9332c931651e,LC-U-PM,the classmate  tattled on the girl who was passed a note.,Who was tattled on?,G,the girl who was passed the note,LC-U-PM,the classmate  tattled on the girl who was passed a note.,Who was tattled on?,,"the girl who was passed a note
the girl","the girl who was passed a note
the girl
girl who was passed a note
girl",the girl,26,F,the girl who was passed a note,the girl,the classmate,0
Final,5e7fd320aa0fcb000913970d,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,G,chef,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,,"the chef who was presented the new knife
the chef","the chef who was presented the new knife
the chef
chef who was presented the new knife
chef",the chef,21,F,the chef who was presented the new knife,the chef,the audience,1
Final,602f69ce775c55c4b3ceeabb,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,G,the chef,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,,"the chef who was presented the new knife
the chef","the chef who was presented the new knife
the chef
chef who was presented the new knife
chef",the chef,21,F,the chef who was presented the new knife,the chef,the audience,1
Final,612376826a580ca0368bb19f,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,G,chef,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,,"the chef who was presented the new knife
the chef","the chef who was presented the new knife
the chef
chef who was presented the new knife
chef",the chef,21,F,the chef who was presented the new knife,the chef,the audience,1
Final,611e182dfe4a100e7d271c7e,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,G,the new chef,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,,"the chef who was presented the new knife
the chef","the chef who was presented the new knife
the chef
chef who was presented the new knife
chef",the chef,21,F,the chef who was presented the new knife,the chef,the audience,0
Final,5f983f3b00bbab0c4b28149a,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,G,the chef.,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,,"the chef who was presented the new knife
the chef","the chef who was presented the new knife
the chef
chef who was presented the new knife
chef",the chef,21,F,the chef who was presented the new knife,the chef,the audience,1
Final,5e1aeccbd32f9332c931651e,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,G,the chef,LC-U-PM,the audience greeted the chef who was presented the new knife.,Who was greeted?,,"the chef who was presented the new knife
the chef","the chef who was presented the new knife
the chef
chef who was presented the new knife
chef",the chef,21,F,the chef who was presented the new knife,the chef,the audience,1
Final,5e7fd320aa0fcb000913970d,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,G,bartender,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,,"the woman offered a free drink
the woman","the woman offered a free drink
the woman
woman offered a free drink
woman",the woman,0,F,the woman offered a free drink,the woman,the bartender,0
Final,602f69ce775c55c4b3ceeabb,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,G,the bartender,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,,"the woman offered a free drink
the woman","the woman offered a free drink
the woman
woman offered a free drink
woman",the woman,0,F,the woman offered a free drink,the woman,the bartender,0
Final,612376826a580ca0368bb19f,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,G,bartender,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,,"the woman offered a free drink
the woman","the woman offered a free drink
the woman
woman offered a free drink
woman",the woman,0,F,the woman offered a free drink,the woman,the bartender,0
Final,611e182dfe4a100e7d271c7e,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,G,the woman,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,,"the woman offered a free drink
the woman","the woman offered a free drink
the woman
woman offered a free drink
woman",the woman,0,F,the woman offered a free drink,the woman,the bartender,1
Final,5f983f3b00bbab0c4b28149a,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,G,the woman.,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,,"the woman offered a free drink
the woman","the woman offered a free drink
the woman
woman offered a free drink
woman",the woman,0,F,the woman offered a free drink,the woman,the bartender,1
Final,5e1aeccbd32f9332c931651e,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,G,the woman,GP-A-PE,the woman offered a free drink winked at the bartender.,Who was offered a free drink?,,"the woman offered a free drink
the woman","the woman offered a free drink
the woman
woman offered a free drink
woman",the woman,0,F,the woman offered a free drink,the woman,the bartender,1
Final,5e7fd320aa0fcb000913970d,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,G,mailman,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,,the mailman,"the mailman
mailman",the mailman,49,F,the neighbour who was crocheted a blanket,the neighbour,the mailman,1
Final,602f69ce775c55c4b3ceeabb,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,G,the mailman,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,,the mailman,"the mailman
mailman",the mailman,49,F,the neighbour who was crocheted a blanket,the neighbour,the mailman,1
Final,612376826a580ca0368bb19f,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,G,mailman,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,,the mailman,"the mailman
mailman",the mailman,49,F,the neighbour who was crocheted a blanket,the neighbour,the mailman,1
Final,611e182dfe4a100e7d271c7e,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,G,mailman,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,,the mailman,"the mailman
mailman",the mailman,49,F,the neighbour who was crocheted a blanket,the neighbour,the mailman,1
Final,5f983f3b00bbab0c4b28149a,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,G,the neighbour.,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,,the mailman,"the mailman
mailman",the mailman,49,F,the neighbour who was crocheted a blanket,the neighbour,the mailman,0
Final,5e1aeccbd32f9332c931651e,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,G,the mailman,GP-U-PM,the neighbour who was crocheted a blanket envied the mailman.,Who was envied?,,the mailman,"the mailman
mailman",the mailman,49,F,the neighbour who was crocheted a blanket,the neighbour,the mailman,1
Final,5e7fd320aa0fcb000913970d,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,G,teenager,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,,"the teenager burned a cd
the teenager","the teenager burned a cd
the teenager
teenager burned a cd
teenager",the teenager,26,F,the teenager burned a cd,the teenager,the cheerleader,1
Final,602f69ce775c55c4b3ceeabb,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,G,teenager,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,,"the teenager burned a cd
the teenager","the teenager burned a cd
the teenager
teenager burned a cd
teenager",the teenager,26,F,the teenager burned a cd,the teenager,the cheerleader,1
Final,612376826a580ca0368bb19f,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,G,teenager,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,,"the teenager burned a cd
the teenager","the teenager burned a cd
the teenager
teenager burned a cd
teenager",the teenager,26,F,the teenager burned a cd,the teenager,the cheerleader,1
Final,611e182dfe4a100e7d271c7e,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,G,teenager,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,,"the teenager burned a cd
the teenager","the teenager burned a cd
the teenager
teenager burned a cd
teenager",the teenager,26,F,the teenager burned a cd,the teenager,the cheerleader,1
Final,5f983f3b00bbab0c4b28149a,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,G,the teenager.,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,,"the teenager burned a cd
the teenager","the teenager burned a cd
the teenager
teenager burned a cd
teenager",the teenager,26,F,the teenager burned a cd,the teenager,the cheerleader,1
Final,5e1aeccbd32f9332c931651e,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,G,the teenager,LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,,"the teenager burned a cd
the teenager","the teenager burned a cd
the teenager
teenager burned a cd
teenager",the teenager,26,F,the teenager burned a cd,the teenager,the cheerleader,1
Final,5e7fd320aa0fcb000913970d,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,G,travel agent,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,,a travel agent,"a travel agent
travel agent",a travel agent,41,F,the colonel who was granted leave,the colonel,a travel agent,1
Final,602f69ce775c55c4b3ceeabb,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,G,a travel agent,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,,a travel agent,"a travel agent
travel agent",a travel agent,41,F,the colonel who was granted leave,the colonel,a travel agent,1
Final,612376826a580ca0368bb19f,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,G,colonel,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,,a travel agent,"a travel agent
travel agent",a travel agent,41,F,the colonel who was granted leave,the colonel,a travel agent,0
Final,611e182dfe4a100e7d271c7e,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,G,travel agent,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,,a travel agent,"a travel agent
travel agent",a travel agent,41,F,the colonel who was granted leave,the colonel,a travel agent,1
Final,5f983f3b00bbab0c4b28149a,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,G,the travel agent.,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,,a travel agent,"a travel agent
travel agent",a travel agent,41,F,the colonel who was granted leave,the colonel,a travel agent,0
Final,5e1aeccbd32f9332c931651e,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,G,a travel agent,GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,,a travel agent,"a travel agent
travel agent",a travel agent,41,F,the colonel who was granted leave,the colonel,a travel agent,1
Final,5e7fd320aa0fcb000913970d,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,G,priest,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,,"the priest who was mailed a request
the priest","the priest who was mailed a request
the priest
priest who was mailed a request
priest",the priest,24,F,the priest who was mailed a request,the priest,the cardinal,1
Final,602f69ce775c55c4b3ceeabb,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,G,the priest,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,,"the priest who was mailed a request
the priest","the priest who was mailed a request
the priest
priest who was mailed a request
priest",the priest,24,F,the priest who was mailed a request,the priest,the cardinal,1
Final,612376826a580ca0368bb19f,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,G,priest,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,,"the priest who was mailed a request
the priest","the priest who was mailed a request
the priest
priest who was mailed a request
priest",the priest,24,F,the priest who was mailed a request,the priest,the cardinal,1
Final,611e182dfe4a100e7d271c7e,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,G,the priest,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,,"the priest who was mailed a request
the priest","the priest who was mailed a request
the priest
priest who was mailed a request
priest",the priest,24,F,the priest who was mailed a request,the priest,the cardinal,1
Final,5f983f3b00bbab0c4b28149a,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,G,the priest.,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,,"the priest who was mailed a request
the priest","the priest who was mailed a request
the priest
priest who was mailed a request
priest",the priest,24,F,the priest who was mailed a request,the priest,the cardinal,1
Final,5e1aeccbd32f9332c931651e,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,G,the priest,LC-U-PM,the cardinal telephoned the priest who was mailed a request.,Who was telephoned?,,"the priest who was mailed a request
the priest","the priest who was mailed a request
the priest
priest who was mailed a request
priest",the priest,24,F,the priest who was mailed a request,the priest,the cardinal,1
Final,5c194b19c856be0001059e13,GP-A-PE,the settlers built a log cabin thanked the neighbours.,Who was built a log cabin?,Q,the settlers,GP-A-PE,the settlers built a log cabin thanked the neighbours.,Who was built a log cabin?,,"the settlers built a log cabin
the settlers","the settlers built a log cabin
the settlers
settlers built a log cabin
settlers",the settlers,0,F,the settlers built a log cabin,the settlers,the neighbours,1
Final,5c194b19c856be0001059e13,LC-A-AM,the carnival worker ignored the girl won a stuffed bear.,Who ignored the girl?,Q,the carnival worker,LC-A-AM,the carnival worker ignored the girl won a stuffed bear.,Who ignored the girl?,,the carnival worker,"the carnival worker
carnival worker",the carnival worker,0,F,the girl won a stuffed bear,the girl,the carnival worker,1
Final,5c194b19c856be0001059e13,LC-A-PM,the tribesmen admired the scientist shipped critical supplies.,Who was admired?,Q,the scientist,LC-A-PM,the tribesmen admired the scientist shipped critical supplies.,Who was admired?,,"the scientist shipped critical supplies
the scientist","the scientist shipped critical supplies
the scientist
scientist shipped critical supplies
scientist",the scientist,22,F,the scientist shipped critical supplies,the scientist,the tribesmen,1
Final,5c194b19c856be0001059e13,GP-U-PM,the woman who was offered a free drink winked at the bartender.,Who was winked at?,Q,the bartender,GP-U-PM,the woman who was offered a free drink winked at the bartender.,Who was winked at?,,the bartender,"the bartender
bartender",the bartender,49,F,the woman who was offered a free drink,the woman,the bartender,1
Final,5c194b19c856be0001059e13,GP-U-PM,the teenager who was burned a cd smiled at the cheerleader.,Who was smiled at?,Q,the cheerleader,GP-U-PM,the teenager who was burned a cd smiled at the cheerleader.,Who was smiled at?,,the cheerleader,"the cheerleader
cheerleader",the cheerleader,43,F,the teenager who was burned a cd,the teenager,the cheerleader,1
Final,5c194b19c856be0001059e13,LC-U-PM,the neighbours thanked the settlers who were built a log cabin.,Who was thanked?,Q,the settlers,LC-U-PM,the neighbours thanked the settlers who were built a log cabin.,Who was thanked?,,"the settlers who were built a log cabin
the settlers","the settlers who were built a log cabin
the settlers
settlers who were built a log cabin
settlers",the settlers,23,F,the settlers who were built a log cabin,the settlers,the neighbours,1
Final,5c194b19c856be0001059e13,LC-U-PM,a friend embraced the old man who was awarded the prize.,Who was embraced?,Q,the old man,LC-U-PM,a friend embraced the old man who was awarded the prize.,Who was embraced?,,"the old man who was awarded the prize
the old man","the old man who was awarded the prize
the old man
old man who was awarded the prize
old man",the old man,18,F,the old man who was awarded the prize,the old man,a friend,1
Final,5c194b19c856be0001059e13,GP-U-PM,the student who was called a bad name knew the bus driver.,Who was known?,Q,the bus driver,GP-U-PM,the student who was called a bad name knew the bus driver.,Who was known?,,the bus driver,"the bus driver
bus driver",the bus driver,43,F,the student who was called a bad name,the student,the bus driver,1
Final,5c194b19c856be0001059e13,LC-U-PM,the roommate called the student who was baked a cake.,Who was called?,Q,the student,LC-U-PM,the roommate called the student who was baked a cake.,Who was called?,,"the student who was baked a cake
the student","the student who was baked a cake
the student
student who was baked a cake
student",the student,20,F,the student who was baked a cake,the student,the roommate,1
Final,5c194b19c856be0001059e13,LC-A-PM,the driver worried about the dispatcher handed a pink slip.,Who was worried about?,Q,the dispatcher,LC-A-PM,the driver worried about the dispatcher handed a pink slip.,Who was worried about?,,"the dispatcher handed a pink slip
the dispatcher","the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher",the dispatcher,25,F,the dispatcher handed a pink slip,the dispatcher,the driver,1
Final,5c194b19c856be0001059e13,GP-U-PM,the girl who was passed a note tattled on the classmate.,Who was tattled on?,Q,the classmate,GP-U-PM,the girl who was passed a note tattled on the classmate.,Who was tattled on?,,the classmate,"the classmate
classmate",the classmate,42,F,the girl who was passed a note,the girl,the classmate,1
Final,5c194b19c856be0001059e13,LC-A-AM,the nanny hugged the child read a story.,Who gave a hug?,Q,the nanny,LC-A-AM,the nanny hugged the child read a story.,Who gave a hug?,,the nanny,"the nanny
nanny",the nanny,0,F,the child read a story,the child,the nanny,1
Final,5c194b19c856be0001059e13,GP-A-PE,the pack leader knitted a scarf thanked the boy scout.,Who was knitted a scarf?,Q,the pack leader,GP-A-PE,the pack leader knitted a scarf thanked the boy scout.,Who was knitted a scarf?,,"the pack leader knitted a scarf
the pack leader","the pack leader knitted a scarf
the pack leader
pack leader knitted a scarf
pack leader",the pack leader,0,F,the pack leader knitted a scarf,the pack leader,the boy scout,1
Final,5c194b19c856be0001059e13,LC-U-PM,the villain watched the spy who was served a dry martini.,Who was watched?,Q,the spy,LC-U-PM,the villain watched the spy who was served a dry martini.,Who was watched?,,"the spy who was served a dry martini
the spy","the spy who was served a dry martini
the spy
spy who was served a dry martini
spy",the spy,20,F,the spy who was served a dry martini,the spy,the villain,1
Final,5c194b19c856be0001059e13,LC-U-PM,the beggar  despised the hobo who was cut a slice of cheese.,Who was despised?,Q,the hobbo,LC-U-PM,the beggar  despised the hobo who was cut a slice of cheese.,Who was despised?,,"the hobo who was cut a slice of cheese
the hobo","the hobo who was cut a slice of cheese
the hobo
hobo who was cut a slice of cheese
hobo",the hobo,21,F,the hobo who was cut a slice of cheese,the hobo,the beggar,0
Final,5c194b19c856be0001059e13,GP-A-PE,the chef presented the new knife greeted the audience.,Who got a new knife?,Q,the chef,GP-A-PE,the chef presented the new knife greeted the audience.,Who got a new knife?,,"the chef presented the new knife
the chef","the chef presented the new knife
the chef
chef presented the new knife
chef",the chef,0,F,the chef presented the new knife,the chef,the audience,1
Final,5c194b19c856be0001059e13,GP-U-PM,the child who was bought an ice cream cone smiled at the cashier.,Who was smiled at?,Q,the cashier,GP-U-PM,the child who was bought an ice cream cone smiled at the cashier.,Who was smiled at?,,the cashier,"the cashier
cashier",the cashier,53,F,the child who was bought an ice cream cone,the child,the cashier,1
Final,5c194b19c856be0001059e13,GP-U-PM,the player who was tossed the ball interfered with the other team.,Who was interfered with?,Q,the other man,GP-U-PM,the player who was tossed the ball interfered with the other team.,Who was interfered with?,,the other team,"the other team
other team",the other team,51,F,the player who was tossed the ball,the player,the other team,0
Final,5c194b19c856be0001059e13,LC-A-AM,the lawyer chatted up the secretary poured a beer.,Who chatted up the secretary?,Q,the lawyer,LC-A-AM,the lawyer chatted up the secretary poured a beer.,Who chatted up the secretary?,,the lawyer,"the lawyer
lawyer",the lawyer,0,F,the secretary poured a beer,the secretary,the lawyer,1
Final,5c194b19c856be0001059e13,LC-A-AM,the clown surprised the child saved a front row seat.,Who surprised the child?,Q,the clown,LC-A-AM,the clown surprised the child saved a front row seat.,Who surprised the child?,,the clown,"the clown
clown",the clown,0,F,the child saved a front row seat,the child,the clown,1
Final,5c194b19c856be0001059e13,LC-U-PM,the dean visited the instructor who was submitted the plagiarized papers.,Who was visited?,Q,the instructor,LC-U-PM,the dean visited the instructor who was submitted the plagiarized papers.,Who was visited?,,"the instructor who was submitted the plagiarized papers
the instructor","the instructor who was submitted the plagiarized papers
the instructor
instructor who was submitted the plagiarized papers
instructor",the instructor,17,F,the instructor who was submitted the plagiarized papers,the instructor,the dean,1
Final,5c194b19c856be0001059e13,GP-A-PE,the hobo cut a slice of cheese despised the beggar.,Who was cut a slice of cheese?,Q,the hobbo,GP-A-PE,the hobo cut a slice of cheese despised the beggar.,Who was cut a slice of cheese?,,"the hobo cut a slice of cheese
the hobo","the hobo cut a slice of cheese
the hobo
hobo cut a slice of cheese
hobo",the hobo,0,F,the hobo cut a slice of cheese,the hobo,the beggar,0
Final,5c194b19c856be0001059e13,LC-A-AM,several surgeons assisted the doctor delivered the donor organ.,Who assisted the doctor?,Q,the surgeons,LC-A-AM,several surgeons assisted the doctor delivered the donor organ.,Who assisted the doctor?,,several surgeons,"several surgeons
surgeons",several surgeons,0,F,the doctor delivered the donor organ,the doctor,several surgeons,0
Final,5c194b19c856be0001059e13,LC-U-PM,the girlfriend distrusted the boyfriend who was left a voicemail.,Who was distrusted?,Q,the boyfriend,LC-U-PM,the girlfriend distrusted the boyfriend who was left a voicemail.,Who was distrusted?,,"the boyfriend who was left a voicemail
the boyfriend","the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend",the boyfriend,26,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend,1
Final,5c194b19c856be0001059e13,GP-U-PM,the inspector who was paid a fee argued with the fireman.,Who was argued with?,Q,the fireman,GP-U-PM,the inspector who was paid a fee argued with the fireman.,Who was argued with?,,the fireman,"the fireman
fireman",the fireman,45,F,the inspector who was paid a fee,the inspector,the fireman,1
Final,5c194b19c856be0001059e13,GP-A-PE,the prisoner procured a weekend pass whispered to the guard.,Who was procured a weekend pass?,Q,the prisoner,GP-A-PE,the prisoner procured a weekend pass whispered to the guard.,Who was procured a weekend pass?,,"the prisoner procured a weekend pass
the prisoner","the prisoner procured a weekend pass
the prisoner
prisoner procured a weekend pass
prisoner",the prisoner,0,F,the prisoner procured a weekend pass,the prisoner,the guard,1
Final,5c194b19c856be0001059e13,LC-U-PM,the fireman argued with the inspector who was paid a fee.,Who was argued with?,Q,the inspector,LC-U-PM,the fireman argued with the inspector who was paid a fee.,Who was argued with?,,"the inspector who was paid a fee
the inspector","the inspector who was paid a fee
the inspector
inspector who was paid a fee
inspector",the inspector,24,F,the inspector who was paid a fee,the inspector,the fireman,1
Final,5c194b19c856be0001059e13,LC-A-PM,the bus driver knew the student called a bad name.,Who was known?,Q,the student,LC-A-PM,the bus driver knew the student called a bad name.,Who was known?,,"the student called a bad name
the student","the student called a bad name
the student
student called a bad name
student",the student,20,F,the student called a bad name,the student,the bus driver,1
Final,5c194b19c856be0001059e13,GP-U-PM,the babysitter who was purchased a gift card thanked the parents.,Who was thanked?,Q,the parents,GP-U-PM,the babysitter who was purchased a gift card thanked the parents.,Who was thanked?,,the parents,"the parents
parents",the parents,53,F,the babysitter who was purchased a gift card,the babysitter,the parents,1
Final,5c194b19c856be0001059e13,GP-U-PM,the manager who was prepared the report praised the employees.,Who was praised?,Q,the employees,GP-U-PM,the manager who was prepared the report praised the employees.,Who was praised?,,the employees,"the employees
employees",the employees,48,F,the manager who was prepared the report,the manager,the employees,1
Final,5c194b19c856be0001059e13,GP-U-PM,the spy who was served a dry martini watched the villain.,Who was watched?,Q,the spy,GP-U-PM,the spy who was served a dry martini watched the villain.,Who was watched?,,the villain,"the villain
villain",the villain,45,F,the spy who was served a dry martini,the spy,the villain,0
Final,5c194b19c856be0001059e13,GP-U-PM,the boy who was sent an invitation hugged the tutor.,Who was hugged?,Q,the tutor,GP-U-PM,the boy who was sent an invitation hugged the tutor.,Who was hugged?,,the tutor,"the tutor
tutor",the tutor,42,F,the boy who was sent an invitation,the boy,the tutor,1
Final,5c30a8e12644d70001858e18,LC-U-A2,the mailman envied the neighbour who was crocheted a blanket.,What did the neighbor get?,I,a blanket.,LC-U-A2,the mailman envied the neighbour who was crocheted a blanket.,What did the neighbor get?,,"crocheted a blanket
a blanket","crocheted a blanket
a blanket
crocheted a blanket
blanket",crocheted a blanket,41,F,the neighbour who was crocheted a blanket,the neighbour,the mailman,1
Final,60c048ca962103e0da201a34,LC-U-A2,the mailman envied the neighbour who was crocheted a blanket.,What did the neighbor get?,I,a crocheted blanket,LC-U-A2,the mailman envied the neighbour who was crocheted a blanket.,What did the neighbor get?,,"crocheted a blanket
a blanket","crocheted a blanket
a blanket
crocheted a blanket
blanket",crocheted a blanket,41,F,the neighbour who was crocheted a blanket,the neighbour,the mailman,0
Final,60f814d5348f2f80c0e60c3a,LC-U-A2,the mailman envied the neighbour who was crocheted a blanket.,What did the neighbor get?,I,a blanked,LC-U-A2,the mailman envied the neighbour who was crocheted a blanket.,What did the neighbor get?,,"crocheted a blanket
a blanket","crocheted a blanket
a blanket
crocheted a blanket
blanket",crocheted a blanket,41,F,the neighbour who was crocheted a blanket,the neighbour,the mailman,0
Final,5cd74735c78b7d0001f9b364,LC-U-A2,the mailman envied the neighbour who was crocheted a blanket.,What did the neighbor get?,I,a blanket%0a,LC-U-A2,the mailman envied the neighbour who was crocheted a blanket.,What did the neighbor get?,,"crocheted a blanket
a blanket","crocheted a blanket
a blanket
crocheted a blanket
blanket",crocheted a blanket,41,F,the neighbour who was crocheted a blanket,the neighbour,the mailman,0
Final,5c30a8e12644d70001858e18,GP-A-AM,the secretary poured a beer chatted up the lawyer.,Who chatted up the lawyer?,I,%0athe secretary,GP-A-AM,the secretary poured a beer chatted up the lawyer.,Who chatted up the lawyer?,,"the secretary poured a beer
the secretary","the secretary poured a beer
the secretary
secretary poured a beer
secretary",the secretary,0,F,the secretary poured a beer,the secretary,the lawyer,0
Final,60c048ca962103e0da201a34,GP-A-AM,the secretary poured a beer chatted up the lawyer.,Who chatted up the lawyer?,I,the secretary,GP-A-AM,the secretary poured a beer chatted up the lawyer.,Who chatted up the lawyer?,,"the secretary poured a beer
the secretary","the secretary poured a beer
the secretary
secretary poured a beer
secretary",the secretary,0,F,the secretary poured a beer,the secretary,the lawyer,1
Final,60f814d5348f2f80c0e60c3a,GP-A-AM,the secretary poured a beer chatted up the lawyer.,Who chatted up the lawyer?,I,the secretary ,GP-A-AM,the secretary poured a beer chatted up the lawyer.,Who chatted up the lawyer?,,"the secretary poured a beer
the secretary","the secretary poured a beer
the secretary
secretary poured a beer
secretary",the secretary,0,F,the secretary poured a beer,the secretary,the lawyer,1
Final,5cd74735c78b7d0001f9b364,GP-A-AM,the secretary poured a beer chatted up the lawyer.,Who chatted up the lawyer?,I,the secretary%0a,GP-A-AM,the secretary poured a beer chatted up the lawyer.,Who chatted up the lawyer?,,"the secretary poured a beer
the secretary","the secretary poured a beer
the secretary
secretary poured a beer
secretary",the secretary,0,F,the secretary poured a beer,the secretary,the lawyer,0
Final,5c30a8e12644d70001858e18,GP-U-A1,the reporter who was told the rumour yelled at the witness.,What did the reporter do?,I,yelled at the witness.%0a,GP-U-A1,the reporter who was told the rumour yelled at the witness.,What did the reporter do?,,yelled at the witness,"yelled at the witness
yelled",yelled at the witness,37,F,the reporter who was told the rumour,the reporter,the witness,0
