code,context,question,fix,answers.all.A,answers.all.B,answers.text,answers.start_index,fact or implied,NP-RC,NP-RC edit,NP-NRC
GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,,a travel agent,"a travel agent
travel agent",a travel agent,41,F,the colonel who was granted leave,the colonel,a travel agent
GP-U-PE,the colonel who was granted leave phoned a travel agent.,Who was granted leave?,,"the colonel who was granted leave
the colonel","the colonel who was granted leave
the colonel
colonel who was granted leave
colonel",the colonel,0,F,the colonel who was granted leave,the colonel,a travel agent
GP-U-A1,the colonel who was granted leave phoned a travel agent.,What did the colonel do?,,phoned a travel agent,"phoned a travel agent
phoned",phoned a travel agent,34,F,the colonel who was granted leave,the colonel,a travel agent
LC-U-AM,a travel agent phoned the colonel who was granted leave.,Who phoned?,,a travel agent,"a travel agent
travel agent",a travel agent,0,F,the colonel who was granted leave,the colonel,a travel agent
LC-U-PM,a travel agent phoned the colonel who was granted leave.,Who was phoned?,,"the colonel who was granted leave
the colonel","the colonel who was granted leave
the colonel
colonel who was granted leave
colonel",the colonel,22,F,the colonel who was granted leave,the colonel,a travel agent
LC-U-PE,a travel agent phoned the colonel who was granted leave.,Who was granted leave?,,the colonel,"the colonel
colonel",the colonel,22,F,the colonel who was granted leave,the colonel,a travel agent
LC-U-A2,a travel agent phoned the colonel who was granted leave.,What did the colonel get?,,"granted leave
leave","granted leave
leave",granted leave,42,F,the colonel who was granted leave,the colonel,a travel agent
LC-U-A1,a travel agent phoned the colonel who was granted leave.,What did the travel agent do?,,"phoned the colonel
phoned the colonel who was granted leave","phoned the colonel
phoned the colonel who was granted leave
phoned",phoned the colonel,15,F,the colonel who was granted leave,the colonel,a travel agent
GP-A-PM,the dispatcher handed a pink slip worried about the driver.,Who was worried about?,,the driver,"the driver
driver",the driver,48,F,the dispatcher handed a pink slip,the dispatcher,the driver
GP-A-PE,the dispatcher handed a pink slip worried about the driver.,Who was handed a pink slip?,,"the dispatcher handed a pink slip
the dispatcher","the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher",the dispatcher,0,F,the dispatcher handed a pink slip,the dispatcher,the driver
GP-A-A1,the dispatcher handed a pink slip worried about the driver.,What did the dispatcher do?,,worried about the driver,"worried about the driver
worried",worried about the driver,34,F,the dispatcher handed a pink slip,the dispatcher,the driver
GP-A-AM,the dispatcher handed a pink slip worried about the driver.,Who worried about the driver?,,"the dispatcher handed a pink slip
the dispatcher","the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher",the dispatcher,0,F,the dispatcher handed a pink slip,the dispatcher,the driver
GP-U-AM,the dispatcher who was handed a pink slip worried about the driver.,Who worried about the driver?,,"the dispatcher who was handed a pink slip
the dispatcher","the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher",the dispatcher,0,F,the dispatcher who was handed a pink slip,the dispatcher,the driver
GP-U-PM,the dispatcher who was handed a pink slip worried about the driver.,Who was worried about?,,the driver,"the driver
driver",the driver,56,F,the dispatcher who was handed a pink slip,the dispatcher,the driver
GP-U-PE,the dispatcher who was handed a pink slip worried about the driver.,Who was handed a pink slip?,,"the dispatcher who was handed a pink slip
the dispatcher","the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher",the dispatcher,0,F,the dispatcher who was handed a pink slip,the dispatcher,the driver
GP-U-A1,the dispatcher who was handed a pink slip worried about the driver.,What did the dispatcher do?,,worried about the driver,"worried about the driver
worried",worried about the driver,42,F,the dispatcher who was handed a pink slip,the dispatcher,the driver
GP-A-PM,the doctor delivered the donor organ assisted several surgeons.,Who was assisted?,,several surgeons,"several surgeons
surgeons",several surgeons,46,F,the doctor delivered the donor organ,the doctor,several surgeons
GP-A-PE,the doctor delivered the donor organ assisted several surgeons.,Who was delivered the donor organ?,,"the doctor delivered the donor organ
the doctor","the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor",the doctor,0,F,the doctor delivered the donor organ,the doctor,several surgeons
GP-A-A1,the doctor delivered the donor organ assisted several surgeons.,What did the doctor do?,,assisted several surgeons,"assisted several surgeons
assisted",assisted several surgeons,37,F,the doctor delivered the donor organ,the doctor,several surgeons
LC-A-AM,several surgeons assisted the doctor delivered the donor organ.,Who assisted the doctor?,,several surgeons,"several surgeons
surgeons",several surgeons,0,F,the doctor delivered the donor organ,the doctor,several surgeons
LC-A-PM,several surgeons assisted the doctor delivered the donor organ.,Who was assisted?,,"the doctor delivered the donor organ
the doctor","the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor",the doctor,26,F,the doctor delivered the donor organ,the doctor,several surgeons
LC-A-PE,several surgeons assisted the doctor delivered the donor organ.,Who was delivered the donor organ?,,the doctor,"the doctor
doctor",the doctor,26,F,the doctor delivered the donor organ,the doctor,several surgeons
LC-A-A2,the tourist photographed the girl played a song.,What did the girl get?,,"played a song
a song","played a song
a song
played a song
song",played a song,34,F,the girl played a song,the girl,the tourist
LC-A-A1,several surgeons assisted the doctor delivered the donor organ.,What did several surgeons so?,,"assisted the doctor
assisted the doctor delivered the donor organ","assisted the doctor
assisted the doctor delivered the donor organ
assisted",assisted the doctor,17,F,the doctor delivered the donor organ,the doctor,several surgeons
GP-A-AM,the doctor delivered the donor organ assisted several surgeons.,Who assisted several surgeons?,,"the doctor delivered the donor organ
the doctor","the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor",the doctor,0,F,the doctor delivered the donor organ,the doctor,several surgeons
GP-U-AM,the doctor who was delivered the donor organ assisted several surgeons.,Who assisted several surgeons?,,"the doctor who was delivered the donor organ
the doctor","the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor",the doctor,0,F,the doctor who was delivered the donor organ,the doctor,several surgeons
GP-U-PM,the doctor who was delivered the donor organ assisted several surgeons.,Who was assisted?,,several surgeons,"several surgeons
surgeons",several surgeons,54,F,the doctor who was delivered the donor organ,the doctor,several surgeons
GP-U-PE,the doctor who was delivered the donor organ assisted several surgeons.,Who was delivered the donor organ?,,"the doctor who was delivered the donor organ
the doctor","the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor",the doctor,0,F,the doctor who was delivered the donor organ,the doctor,several surgeons
GP-U-A1,the doctor who was delivered the donor organ assisted several surgeons.,What did the doctor do?,,assisted several surgeons,"assisted several surgeons
assisted",assisted several surgeons,45,F,the doctor who was delivered the donor organ,the doctor,several surgeons
LC-U-AM,several surgeons assisted the doctor who was delivered the donor organ.,Who assisted the doctor?,,several surgeons,"several surgeons
surgeons",several surgeons,0,F,the doctor who was delivered the donor organ,the doctor,several surgeons
LC-U-PM,several surgeons assisted the doctor who was delivered the donor organ.,Who was assisted?,,"the doctor who was delivered the donor organ
the doctor","the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor",the doctor,26,F,the doctor who was delivered the donor organ,the doctor,several surgeons
LC-U-PE,several surgeons assisted the doctor who was delivered the donor organ.,Who was delivered the donor organ?,,the doctor,"the doctor
doctor",the doctor,26,F,the doctor who was delivered the donor organ,the doctor,several surgeons
LC-U-A2,several surgeons assisted the doctor who was delivered the donor organ.,What did the doctor get?,,"delivered the donor organ
the donor organ","delivered the donor organ
the donor organ
delivered the donor organ
donor organ",delivered the donor organ,45,F,the doctor who was delivered the donor organ,the doctor,several surgeons
LC-U-A1,several surgeons assisted the doctor who was delivered the donor organ.,What did several surgeons so?,,"assisted the doctor
assisted the doctor who was delivered the donor organ","assisted the doctor
assisted the doctor who was delivered the donor organ
assisted",assisted the doctor,17,F,the doctor who was delivered the donor organ,the doctor,several surgeons
GP-A-PM,the general awarded the medal annoyed the soldier.,Who was annoyed?,,the soldier,"the soldier
soldier",the soldier,38,F,the general awarded the medal,the general,the soldier
GP-A-PE,the general awarded the medal annoyed the soldier.,Who was awarded the medal?,,"the general awarded the medal
the general","the general awarded the medal
the general
general awarded the medal
general",the general,0,F,the general awarded the medal,the general,the soldier
GP-A-A1,the general awarded the medal annoyed the soldier.,What did the general do?,,annoyed the soldier,"annoyed the soldier
annoyed",annoyed the soldier,30,F,the general awarded the medal,the general,the soldier
LC-A-AM,the soldier annoyed the general awarded the medal.,Who annoyed the general?,,the soldier,"the soldier
soldier",the soldier,0,F,the general awarded the medal,the general,the soldier
LC-A-PM,the soldier annoyed the general awarded the medal.,Who was annoyed?,,"the general awarded the medal
the general","the general awarded the medal
the general
general awarded the medal
general",the general,20,F,the general awarded the medal,the general,the soldier
LC-A-PE,the soldier annoyed the general awarded the medal.,Who was awarded the medal?,,the general,"the general
general",the general,20,F,the general awarded the medal,the general,the soldier
LC-A-A2,the host toasted the golfer cooked a special meal.,What did the golfer get?,,"cooked a special meal
a special meal","cooked a special meal
a special meal
cooked a special meal
special meal",cooked a special meal,28,F,the golfer cooked a special meal,the golfer,the host
LC-A-A1,the soldier annoyed the general awarded the medal.,What did the soldier do?,,"annoyed the general
annoyed the general awarded the medal","annoyed the general
annoyed the general awarded the medal
annoyed",annoyed the general,12,F,the general awarded the medal,the general,the soldier
GP-A-AM,the general awarded the medal annoyed the soldier.,Who annoyed the soldier?,,"the general awarded the medal
the general","the general awarded the medal
the general
general awarded the medal
general",the general,0,F,the general awarded the medal,the general,the soldier
GP-U-AM,the general who was awarded the medal annoyed the soldier.,Who annoyed the soldier?,,"the general who was awarded the medal
the general","the general who was awarded the medal
the general
general who was awarded the medal
general",the general,0,F,the general who was awarded the medal,the general,the soldier
GP-U-PM,the general who was awarded the medal annoyed the soldier.,Who was annoyed?,,the soldier,"the soldier
soldier",the soldier,46,F,the general who was awarded the medal,the general,the soldier
GP-U-PE,the general who was awarded the medal annoyed the soldier.,Who was awarded the medal?,,"the general who was awarded the medal
the general","the general who was awarded the medal
the general
general who was awarded the medal
general",the general,0,F,the general who was awarded the medal,the general,the soldier
GP-U-A1,the general who was awarded the medal annoyed the soldier.,What did the general do?,,annoyed the soldier,"annoyed the soldier
annoyed",annoyed the soldier,38,F,the general who was awarded the medal,the general,the soldier
LC-U-AM,the soldier annoyed the general who was awarded the medal.,Who annoyed the general?,,the soldier,"the soldier
soldier",the soldier,0,F,the general who was awarded the medal,the general,the soldier
LC-U-PM,the soldier annoyed the general who was awarded the medal.,Who was annoyed?,,"the general who was awarded the medal
the general","the general who was awarded the medal
the general
general who was awarded the medal
general",the general,20,F,the general who was awarded the medal,the general,the soldier
LC-U-PE,the soldier annoyed the general who was awarded the medal.,Who was awarded the medal?,,the general,"the general
general",the general,20,F,the general who was awarded the medal,the general,the soldier
LC-U-A2,the soldier annoyed the general who was awarded the medal.,What did the general get?,,"awarded the medal
the medal","awarded the medal
the medal
awarded the medal
medal",awarded the medal,40,F,the general who was awarded the medal,the general,the soldier
LC-U-A1,the soldier annoyed the general who was awarded the medal.,What did the soldier do?,,"annoyed the general
annoyed the general who was awarded the medal","annoyed the general
annoyed the general who was awarded the medal
annoyed",annoyed the general,12,F,the general who was awarded the medal,the general,the soldier
GP-A-PM,the girl passed a note tattled on the classmate.,Who was tattled on?,,the classmate,"the classmate
classmate",the classmate,34,F,the girl passed a note,the girl,the classmate
GP-A-PE,the girl passed a note tattled on the classmate.,Who was passed a note?,,"the girl passed a note
the girl","the girl passed a note
the girl
girl passed a note
girl",the girl,0,F,the girl passed a note,the girl,the classmate
GP-A-A1,the girl passed a note tattled on the classmate.,What did the girl do?,,tattled,"tattled
tattled on the classmate",tattled,23,F,the girl passed a note,the girl,the classmate
GP-A-AM,the girl passed a note tattled on the classmate.,Who tattled?,,"the girl passed a note
the girl","the girl passed a note
the girl
girl passed a note
girl",the girl,0,F,the girl passed a note,the girl,the classmate
GP-A-PM,the girl played a song photographed the tourist.,Who was photographed?,,the tourist,"the tourist
tourist",the tourist,36,F,the girl played a song,the girl,the tourist
GP-A-PE,the girl played a song photographed the tourist.,Who was played a song?,,"the girl played a song
the girl","the girl played a song
the girl
girl played a song
girl",the girl,0,F,the girl played a song,the girl,the tourist
GP-A-A1,the girl played a song photographed the tourist.,What did the girl do?,,photographed the tourist,"photographed the tourist
photographed",photographed the tourist,23,F,the girl played a song,the girl,the tourist
LC-A-AM,the tourist photographed the girl played a song.,Who photographed the girl?,,the tourist,"the tourist
tourist",the tourist,0,F,the girl played a song,the girl,the tourist
LC-A-PM,the tourist photographed the girl played a song.,Who was played a song?,,"the girl played a song
the girl","the girl played a song
the girl
girl played a song
girl",the girl,25,F,the girl played a song,the girl,the tourist
LC-A-PE,the tourist photographed the girl played a song.,Who was photographed?,,the girl,"the girl
girl",the girl,25,F,the girl played a song,the girl,the tourist
LC-A-A2,the beggar despised the hobo cut a slice of cheese.,What did the hobo get?,,"cut a slice of cheese
a slice of cheese","cut a slice of cheese
a slice of cheese
cut a slice of cheese
slice of cheese",cut a slice of cheese,29,F,the hobo cut a slice of cheese,the hobo,the beggar
LC-A-A1,the tourist photographed the girl played a song.,What did the tourist do?,,"photographed the girl
photographed the girl played a song","photographed the girl
photographed the girl played a song
photographed",photographed the girl,12,F,the girl played a song,the girl,the tourist
GP-A-AM,the girl played a song photographed the tourist.,Who photographed the tourist?,,"the girl played a song
the girl","the girl played a song
the girl
girl played a song
girl",the girl,0,F,the girl played a song,the girl,the tourist
GP-U-AM,the girl who was passed a note tattled on the classmate.,Who tattled?,,"the girl who was passed a note
the girl","the girl who was passed a note
the girl
girl who was passed a note
girl",the girl,0,F,the girl who was passed a note,the girl,the classmate
GP-U-PM,the girl who was passed a note tattled on the classmate.,Who was tattled on?,,the classmate,"the classmate
classmate",the classmate,42,F,the girl who was passed a note,the girl,the classmate
GP-U-PE,the girl who was passed a note tattled on the classmate.,Who was passed a note?,,"the girl who was passed a note
the girl","the girl who was passed a note
the girl
girl who was passed a note
girl",the girl,0,F,the girl who was passed a note,the girl,the classmate
GP-U-A1,the girl who was passed a note tattled on the classmate.,What did the girl do?,,tattled,"tattled
tattled on the classmate",tattled,31,F,the girl who was passed a note,the girl,the classmate
GP-U-AM,the girl who was played a song photographed the tourist.,Who photographed the tourist?,,"the girl who was played a song
the girl","the girl who was played a song
the girl
girl who was played a song
girl",the girl,0,F,the girl who was played a song,the girl,the tourist
GP-U-PM,the girl who was played a song photographed the tourist.,Who was photographed?,,the tourist,"the tourist
tourist",the tourist,44,F,the girl who was played a song,the girl,the tourist
GP-U-PE,the girl who was played a song photographed the tourist.,Who was played a song?,,"the girl who was played a song
the girl","the girl who was played a song
the girl
girl who was played a song
girl",the girl,0,F,the girl who was played a song,the girl,the tourist
GP-U-A1,the girl who was played a song photographed the tourist.,What did the girl do?,,photographed the tourist,"photographed the tourist
photographed",photographed the tourist,31,F,the girl who was played a song,the girl,the tourist
LC-U-AM,the tourist photographed the girl who was played a song.,Who photographed the girl?,,the tourist,"the tourist
tourist",the tourist,0,F,the girl who was played a song,the girl,the tourist
LC-U-PM,the tourist photographed the girl who was played a song.,Who was played a song?,,"the girl who was played a song
the girl","the girl who was played a song
the girl
girl who was played a song
girl",the girl,25,F,the girl who was played a song,the girl,the tourist
LC-U-PE,the tourist photographed the girl who was played a song.,Who was photographed?,,the girl,"the girl
girl",the girl,25,F,the girl who was played a song,the girl,the tourist
LC-U-A2,the tourist photographed the girl who was played a song.,What did the girl get?,,"played a song
a song","played a song
a song
played a song
song",played a song,42,F,the girl who was played a song,the girl,the tourist
LC-U-A1,the tourist photographed the girl who was played a song.,What did the tourist do?,,"photographed the girl
photographed the girl who was played a song","photographed the girl
photographed the girl who was played a song
photographed",photographed the girl,12,F,the girl who was played a song,the girl,the tourist
GP-U-AM,the girl who was won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,,"the girl who was won a stuffed bear
the girl","the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl",the girl,0,F,the girl who was won a stuffed bear,the girl,the carnival worker
GP-U-PM,the girl who was won a stuffed bear ignored the carnival worker.,Who was ignored?,,the carnival worker,"the carnival worker
carnival worker",the carnival worker,44,F,the girl who was won a stuffed bear,the girl,the carnival worker
GP-U-PE,the girl who was won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?,,"the girl who was won a stuffed bear
the girl","the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl",the girl,0,F,the girl who was won a stuffed bear,the girl,the carnival worker
GP-U-A1,the girl who was won a stuffed bear ignored the carnival worker.,What did the girl do?,,the carnival worker,"ignored the carnival worker
ignored the carnival worker
ignored",the carnival worker,44,F,the girl who was won a stuffed bear,the girl,the carnival worker
LC-U-AM,the carnival worker ignored the girl who was won a stuffed bear.,Who ignored the girl?,,the carnival worker,"the carnival worker
carnival worker",the carnival worker,0,F,the girl who was won a stuffed bear,the girl,the carnival worker
LC-U-PM,the carnival worker ignored the girl who was won a stuffed bear.,Who was ignored?,,"the girl who was won a stuffed bear
the girl","the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl",the girl,28,F,the girl who was won a stuffed bear,the girl,the carnival worker
LC-U-PE,the carnival worker ignored the girl who was won a stuffed bear.,Who was won a stuffed bear?,,the girl,"the girl
girl",the girl,28,F,the girl who was won a stuffed bear,the girl,the carnival worker
LC-U-A2,the carnival worker ignored the girl who was won a stuffed bear.,What did the girl get?,,"won a stuffed bear
a stuffed bear","won a stuffed bear
a stuffed bear
won a stuffed bear
stuffed bear",won a stuffed bear,45,F,the girl who was won a stuffed bear,the girl,the carnival worker
LC-U-A1,the carnival worker ignored the girl who was won a stuffed bear.,What did the carnival worker do?,,"ignored the girl
ignored the girl who was won a stuffed bear","ignored the girl
ignored the girl who was won a stuffed bear
ignored",ignored the girl,20,F,the girl who was won a stuffed bear,the girl,the carnival worker
GP-A-PM,the girl won a stuffed bear ignored the carnival worker.,Who was ignored?,,the carnival worker,"the carnival worker
carnival worker",the carnival worker,36,F,the girl won a stuffed bear,the girl,the carnival worker
GP-A-PE,the girl won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?,,"the girl won a stuffed bear
the girl","the girl won a stuffed bear
the girl
girl won a stuffed bear
girl",the girl,0,F,the girl won a stuffed bear,the girl,the carnival worker
GP-A-A1,the girl won a stuffed bear ignored the carnival worker.,What did the girl do?,,the carnival worker,"ignored the carnival worker
ignored the carnival worker
ignored",the carnival worker,36,F,the girl won a stuffed bear,the girl,the carnival worker
LC-A-AM,the carnival worker ignored the girl won a stuffed bear.,Who ignored the girl?,,the carnival worker,"the carnival worker
carnival worker",the carnival worker,0,F,the girl won a stuffed bear,the girl,the carnival worker
LC-A-PM,the carnival worker ignored the girl won a stuffed bear.,Who was ignored?,,"the girl won a stuffed bear
the girl","the girl won a stuffed bear
the girl
girl won a stuffed bear
girl",the girl,28,F,the girl won a stuffed bear,the girl,the carnival worker
LC-A-PE,the carnival worker ignored the girl won a stuffed bear.,Who was won a stuffed bear?,,the girl,"the girl
girl",the girl,28,F,the girl won a stuffed bear,the girl,the carnival worker
LC-A-A2,the fireman argued with the inspector paid a fee.,What did the inspector get?,,"paid a fee
a fee","paid a fee
a fee
paid a fee
fee",paid a fee,38,F,the inspector paid a fee,the inspector,the fireman
LC-A-A1,the carnival worker ignored the girl won a stuffed bear.,What did the carnival worker do?,,"ignored the girl
ignored the girl won a stuffed bear","ignored the girl
ignored the girl won a stuffed bear
ignored",ignored the girl,20,F,the girl won a stuffed bear,the girl,the carnival worker
GP-A-AM,the girl won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,,"the girl won a stuffed bear
the girl","the girl won a stuffed bear
the girl
girl won a stuffed bear
girl",the girl,0,F,the girl won a stuffed bear,the girl,the carnival worker
GP-A-PM,the golfer cooked a special meal toasted the host.,Who was toasted?,,the host,"the host
host",the host,41,F,the golfer cooked a special meal,the golfer,the host
GP-A-PE,the golfer cooked a special meal toasted the host.,Who was cooked a special meal?,,"the golfer cooked a special meal
the golfer","the golfer cooked a special meal
the golfer
golfer cooked a special meal
golfer",the golfer,0,F,the golfer cooked a special meal,the golfer,the host
GP-A-A1,the golfer cooked a special meal toasted the host.,What did the golfer do?,,toasted the host,"toasted the host
toasted",toasted the host,33,F,the golfer cooked a special meal,the golfer,the host
LC-A-AM,the host toasted the golfer cooked a special meal.,Who toasted?,,the host,"the host
host",the host,0,F,the golfer cooked a special meal,the golfer,the host
LC-A-PM,the host toasted the golfer cooked a special meal.,Who was toasted?,,"the golfer cooked a special meal
the golfer","the golfer cooked a special meal
the golfer
golfer cooked a special meal
golfer",the golfer,17,F,the golfer cooked a special meal,the golfer,the host
LC-A-PE,the host toasted the golfer cooked a special meal.,Who was cooked a special meal?,,the golfer,"the golfer
golfer",the golfer,17,F,the golfer cooked a special meal,the golfer,the host
LC-A-A2,the dean visited the instructor submitted the plagiarized papers.,What did the instructor get?,,"submitted the plagiarized papers
the plagiarized papers","submitted the plagiarized papers
the plagiarized papers
submitted the plagiarized papers
plagiarized papers",submitted the plagiarized papers,32,F,the instructor submitted the plagiarized papers,the instructor,the dean
LC-A-A1,the host toasted the golfer cooked a special meal.,What did the host do?,,"toasted the golfer
toasted the golfer cooked a special meal","toasted the golfer
toasted the golfer cooked a special meal
toasted",toasted the golfer,9,F,the golfer cooked a special meal,the golfer,the host
GP-A-AM,the golfer cooked a special meal toasted the host.,Who toasted?,,"the golfer cooked a special meal
the golfer","the golfer cooked a special meal
the golfer
golfer cooked a special meal
golfer",the golfer,0,F,the golfer cooked a special meal,the golfer,the host
GP-U-AM,the golfer who was cooked a special meal toasted the host.,Who toasted?,,"the golfer who was cooked a special meal
the golfer","the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer",the golfer,0,F,the golfer who was cooked a special meal,the golfer,the host
GP-U-PM,the golfer who was cooked a special meal toasted the host.,Who was toasted?,,the host,"the host
host",the host,49,F,the golfer who was cooked a special meal,the golfer,the host
GP-U-PE,the golfer who was cooked a special meal toasted the host.,Who was cooked a special meal?,,"the golfer who was cooked a special meal
the golfer","the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer",the golfer,0,F,the golfer who was cooked a special meal,the golfer,the host
GP-U-A1,the golfer who was cooked a special meal toasted the host.,What did the golfer do?,,toasted the host,"toasted the host
taosted",toasted the host,41,F,the golfer who was cooked a special meal,the golfer,the host
LC-U-AM,the host toasted the golfer who was cooked a special meal.,Who toasted?,,the host,"the host
host",the host,0,F,the golfer who was cooked a special meal,the golfer,the host
LC-U-PM,the host toasted the golfer who was cooked a special meal.,Who was toasted?,,"the golfer who was cooked a special meal
the golfer","the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer",the golfer,17,F,the golfer who was cooked a special meal,the golfer,the host
LC-U-PE,the host toasted the golfer who was cooked a special meal.,Who was cooked a special meal?,,the golfer,"the golfer
golfer",the golfer,17,F,the golfer who was cooked a special meal,the golfer,the host
LC-U-A2,the host toasted the golfer who was cooked a special meal.,What did the golfer get?,,"cooked a special meal
a special meal","cooked a special meal
a special meal
cooked a special meal
special meal",cooked a special meal,36,F,the golfer who was cooked a special meal,the golfer,the host
LC-U-A1,the host toasted the golfer who was cooked a special meal.,What did the host do?,,"toasted the golfer
toasted the golfer who was cooked a special meal","toasted the golfer
toasted the golfer who was cooked a special meal
toasted",toasted the golfer,9,F,the golfer who was cooked a special meal,the golfer,the host
GP-A-PM,the hobo cut a slice of cheese despised the beggar.,Who was despised?,,the beggar,"the beggar
beggar",the beggar,40,F,the hobo cut a slice of cheese,the hobo,the beggar
GP-A-PE,the hobo cut a slice of cheese despised the beggar.,Who was cut a slice of cheese?,,"the hobo cut a slice of cheese
the hobo","the hobo cut a slice of cheese
the hobo
hobo cut a slice of cheese
hobo",the hobo,0,F,the hobo cut a slice of cheese,the hobo,the beggar
GP-A-A1,the hobo cut a slice of cheese despised the beggar.,What did the hobo do?,,despised the beggar,"despised the beggar
despised",despised the beggar,31,F,the hobo cut a slice of cheese,the hobo,the beggar
LC-A-AM,the beggar despised the hobo cut a slice of cheese.,Who despised the hobo?,,the beggar,"the beggar
beggar",the beggar,0,F,the hobo cut a slice of cheese,the hobo,the beggar
LC-A-PM,the beggar despised the hobo cut a slice of cheese.,Who was despised?,,"the hobo cut a slice of cheese
the hobo","the hobo cut a slice of cheese
the hobo
hobo cut a slice of cheese
hobo",the hobo,20,F,the hobo cut a slice of cheese,the hobo,the beggar
LC-A-PE,the beggar despised the hobo cut a slice of cheese.,Who was cut a slice of cheese?,,the hobo,"the hobo
hobo",the hobo,20,F,the hobo cut a slice of cheese,the hobo,the beggar
LC-A-A2,the employees praised the manager prepared the report.,What did the manager get?,,"prepared the report
the report","prepared the report
the report
prepared the report
report",prepared the report,34,F,the manager prepared the report,the manager,the employees
LC-A-A1,the beggar despised the hobo cut a slice of cheese.,What did the beggar do?,,"despised the hobo
despised the hobo cut a slice of cheese","despised the hobo
despised the hobo cut a slice of cheese
despised",despised the hobo,11,F,the hobo cut a slice of cheese,the hobo,the beggar
GP-A-AM,the hobo cut a slice of cheese despised the beggar.,Who despised the beggar?,,"the hobo cut a slice of cheese
the hobo","the hobo cut a slice of cheese
the hobo
hobo cut a slice of cheese
hobo",the hobo,0,F,the hobo cut a slice of cheese,the hobo,the beggar
GP-U-AM,the hobo who was cut a slice of cheese despised the beggar.,Who despised the beggar?,,"the hobo who was cut a slice of cheese
the hobo","the hobo who was cut a slice of cheese
the hobo
hobo who was cut a slice of cheese
hobo",the hobo,0,F,the hobo who was cut a slice of cheese,the hobo,the beggar
GP-U-PM,the hobo who was cut a slice of cheese despised the beggar.,Who was despised?,,the beggar,"the beggar
beggar",the beggar,48,F,the hobo who was cut a slice of cheese,the hobo,the beggar
GP-U-PE,the hobo who was cut a slice of cheese despised the beggar.,Who was cut a slice of cheese?,,"the hobo who was cut a slice of cheese
the hobo","the hobo who was cut a slice of cheese
the hobo
hobo who was cut a slice of cheese
hobo",the hobo,0,F,the hobo who was cut a slice of cheese,the hobo,the beggar
GP-U-A1,the hobo who was cut a slice of cheese despised the beggar.,What did the hobo do?,,despised the beggar,"despised the beggar
despised",despised the beggar,39,F,the hobo who was cut a slice of cheese,the hobo,the beggar
LC-U-AM,the beggar  despised the hobo who was cut a slice of cheese.,Who despised the hobo?,,the beggar,"the beggar 
beggar",the beggar,0,F,the hobo who was cut a slice of cheese,the hobo,the beggar
LC-U-PM,the beggar  despised the hobo who was cut a slice of cheese.,Who was despised?,,"the hobo who was cut a slice of cheese
the hobo","the hobo who was cut a slice of cheese
the hobo
hobo who was cut a slice of cheese
hobo",the hobo,21,F,the hobo who was cut a slice of cheese,the hobo,the beggar
LC-U-PE,the beggar  despised the hobo who was cut a slice of cheese.,Who was cut a slice of cheese?,,the hobo,"the hobo
hobo",the hobo,21,F,the hobo who was cut a slice of cheese,the hobo,the beggar
LC-U-A2,the beggar  despised the hobo who was cut a slice of cheese.,What did the hobo get?,,"cut a slice of cheese
a slice of cheese","cut a slice of cheese
a slice of cheese
cut a slice of cheese
slice of cheese",cut a slice of cheese,38,F,the hobo who was cut a slice of cheese,the hobo,the beggar
LC-U-A1,the beggar  despised the hobo who was cut a slice of cheese.,What did the beggar do?,,"despised the hobo
despised the hobo who was cut a slice of cheese","despised the hobo
despised the hobo who was cut a slice of cheese
despised",despised the hobo,12,F,the hobo who was cut a slice of cheese,the hobo,the beggar
GP-A-PM,the inspector paid a fee argued with the fireman.,Who was argued with?,,the fireman,"the fireman
fireman",the fireman,37,F,the inspector paid a fee,the inspector,the fireman
GP-A-PE,the inspector paid a fee argued with the fireman.,Who was paid a fee?,,"the inspector paid a fee
the inspector","the inspector paid a fee
the inspector
inspector paid a fee
inspector",the inspector,0,F,the inspector paid a fee,the inspector,the fireman
GP-A-A1,the inspector paid a fee argued with the fireman.,What did the inspector do?,,argued with the fireman,"argued with the fireman
argued",argued with the fireman,25,F,the inspector paid a fee,the inspector,the fireman
