Code,Context,Question,Answer,Model_Ans,Score,Correct
LC-U-PE,the nanny hugged the child who was read a story.,Who was read a story?,"the child
child",the nanny hugged the child,0.1317128688097,0
LC-U-A1,the nanny hugged the child who was read a story.,What did the nanny do?,"hugged the child
hugged the child who was read a story
hugged",hugged,0.5666912794113159,1
LC-U-A2,the nanny hugged the child who was read a story.,What did the child get?,"read a story
read a story
a story
story",a story,0.12116601318120956,1
GP-U-AM,the child who was saved a front row seat surprised the clown.,Who surprised the clown?,"the child who was saved a front row seat
the child
child who was saved a front row seat
child",the child,0.5867959856987,1
GP-U-PM,the child who was saved a front row seat surprised the clown.,Who was surprised?,"the clown
clown",the child who was saved a front row seat surprised the clown,0.09374558180570602,0
GP-U-PE,the child who was saved a front row seat surprised the clown.,Who was saved a front row seat?,"the child who was saved a front row seat
the child
child who was saved a front row seat
child",the child,0.06563188135623932,1
GP-U-A1,the child who was saved a front row seat surprised the clown.,What did the child do?,"surprised the clown
surprised",saved a front row seat surprised the clown,0.07537819445133209,0
LC-U-AM,the clown surprised the child who was saved a front row seat.,Who surprised the child?,"the clown
clown",the clown,0.10724569112062454,1
LC-U-PM,the clown surprised the child who was saved a front row seat.,Who was surprised?,"the child who was saved a front row seat
the child
child who was saved a front row seat
child",the child who was saved a front row seat.,0.013241772539913654,1
LC-U-PE,the clown surprised the child who was saved a front row seat.,Who was saved a front row seat?,"the child
child",child,0.13815809786319733,1
LC-U-A2,the clown surprised the child who was saved a front row seat.,What did the child get?,"saved a front row seat
a front row seat
saved a front row seat
front row seat",saved a front row seat,0.3102549612522125,1
LC-U-A1,the clown surprised the child who was saved a front row seat.,What did the clown do?,"surprised the child
surprised the child who was saved a front row seat
surprised",surprised the child who was saved a front row seat,0.5792275667190552,1
GP-A-PM,the colonel granted leave phoned a travel agent.,Who was phoned?,"a travel agent
travel agent",a travel agent,0.6228150129318237,1
GP-A-PE,the colonel granted leave phoned a travel agent.,Who was granted leave?,"the colonel granted leave
the colonel
colonel granted leave
colonel",the colonel granted leave phoned a travel agent,0.02135702781379223,0
GP-A-A1,the colonel granted leave phoned a travel agent.,What did the colonel do?,"phoned a travel agent
phoned",phoned a travel agent,0.4517415165901184,1
LC-A-AM,a travel agent phoned the colonel granted leave.,Who phoned?,"a travel agent
travel agent",a travel agent,0.010542411357164383,1
LC-A-PM,a travel agent phoned the colonel granted leave.,Who was phoned?,"the colonel granted leave
the colonel
colonel granted leave
colonel",the colonel,0.0355253703892231,1
LC-A-PE,a travel agent phoned the colonel granted leave.,Who was granted leave?,"the colonel
colonel",the colonel,0.3050687313079834,1
LC-A-A2,the classmate tattled on the girl passed a note.,What did the girl get?,"passed a note
a note
passed a note
note",a note,0.09898312389850616,1
LC-A-A1,a travel agent phoned the colonel granted leave.,What did the travel agent do?,"phoned the colonel
phoned the colonel granted leave
phoned",phoned the colonel granted leave,0.4456178843975067,1
GP-A-AM,the colonel granted leave phoned a travel agent.,Who phoned?,"the colonel granted leave
the colonel
colonel granted leave
colonel",a travel agent,0.015901070088148117,0
GP-U-AM,the colonel who was granted leave phoned a travel agent.,Who phoned?,"the colonel who was granted leave
the colonel
colonel who was granted leave
colonel",the colonel who was granted leave phoned a travel agent,0.014524068683385849,0
GP-U-PM,the colonel who was granted leave phoned a travel agent.,Who was phoned?,"a travel agent
travel agent",a travel agent,0.3029625415802002,1
GP-U-PE,the colonel who was granted leave phoned a travel agent.,Who was granted leave?,"the colonel who was granted leave
the colonel
colonel who was granted leave
colonel",the colonel,0.35672882199287415,1
GP-U-A1,the colonel who was granted leave phoned a travel agent.,What did the colonel do?,"phoned a travel agent
phoned",phoned a travel agent,0.5731146931648254,1
LC-U-AM,a travel agent phoned the colonel who was granted leave.,Who phoned?,"a travel agent
travel agent",a travel agent,0.007675744593143463,1
LC-U-PM,a travel agent phoned the colonel who was granted leave.,Who was phoned?,"the colonel who was granted leave
the colonel
colonel who was granted leave
colonel",the colonel,0.16094174981117249,1
LC-U-PE,a travel agent phoned the colonel who was granted leave.,Who was granted leave?,"the colonel
colonel",colonel,0.49430161714553833,1
LC-U-A2,a travel agent phoned the colonel who was granted leave.,What did the colonel get?,"granted leave
leave",granted leave,0.4028263986110687,1
LC-U-A1,a travel agent phoned the colonel who was granted leave.,What did the travel agent do?,"phoned the colonel
phoned the colonel who was granted leave
phoned",phoned the colonel,0.38761574029922485,1
GP-A-PM,the dispatcher handed a pink slip worried about the driver.,Who was worried about?,"the driver
driver",the driver,0.8466320633888245,1
GP-A-PE,the dispatcher handed a pink slip worried about the driver.,Who was handed a pink slip?,"the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher",the dispatcher,0.7447055578231812,1
GP-A-A1,the dispatcher handed a pink slip worried about the driver.,What did the dispatcher do?,"worried about the driver
worried",handed a pink slip worried about the driver,0.5819834470748901,0
GP-A-AM,the dispatcher handed a pink slip worried about the driver.,Who worried about the driver?,"the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher",the dispatcher,0.8120689392089844,1
GP-U-AM,the dispatcher who was handed a pink slip worried about the driver.,Who worried about the driver?,"the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher",the dispatcher,0.8365291357040405,1
GP-U-PM,the dispatcher who was handed a pink slip worried about the driver.,Who was worried about?,"the driver
driver",the driver,0.6217117309570312,1
GP-U-PE,the dispatcher who was handed a pink slip worried about the driver.,Who was handed a pink slip?,"the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher",the dispatcher,0.45711928606033325,1
GP-U-A1,the dispatcher who was handed a pink slip worried about the driver.,What did the dispatcher do?,"worried about the driver
worried",worried about the driver,0.5934435129165649,1
GP-A-PM,the doctor delivered the donor organ assisted several surgeons.,Who was assisted?,"several surgeons
surgeons",surgeons,0.05347301810979843,1
GP-A-PE,the doctor delivered the donor organ assisted several surgeons.,Who was delivered the donor organ?,"the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor",the doctor,0.6289703249931335,1
GP-A-A1,the doctor delivered the donor organ assisted several surgeons.,What did the doctor do?,"assisted several surgeons
assisted",delivered the donor organ assisted several surgeons,0.26370367407798767,0
LC-A-AM,several surgeons assisted the doctor delivered the donor organ.,Who assisted the doctor?,"several surgeons
surgeons",several surgeons,0.15795738995075226,1
LC-A-PM,several surgeons assisted the doctor delivered the donor organ.,Who was assisted?,"the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor",several surgeons assisted the doctor,0.0034289713948965073,0
LC-A-PE,several surgeons assisted the doctor delivered the donor organ.,Who was delivered the donor organ?,"the doctor
doctor",doctor,0.1915859580039978,1
LC-A-A2,the tourist photographed the girl played a song.,What did the girl get?,"played a song
a song
played a song
song",a song,0.4571179747581482,1
LC-A-A1,several surgeons assisted the doctor delivered the donor organ.,What did several surgeons so?,"assisted the doctor
assisted the doctor delivered the donor organ
assisted",assisted the doctor delivered the donor organ,0.4505137801170349,1
GP-A-AM,the doctor delivered the donor organ assisted several surgeons.,Who assisted several surgeons?,"the doctor delivered the donor organ
the doctor
doctor delivered the donor organ
doctor",the doctor delivered the donor organ,0.4999983012676239,1
GP-U-AM,the doctor who was delivered the donor organ assisted several surgeons.,Who assisted several surgeons?,"the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor",the doctor who was delivered the donor organ,0.343486487865448,1
GP-U-PM,the doctor who was delivered the donor organ assisted several surgeons.,Who was assisted?,"several surgeons
surgeons",the doctor who was delivered the donor organ assisted several surgeons,0.029626477509737015,0
GP-U-PE,the doctor who was delivered the donor organ assisted several surgeons.,Who was delivered the donor organ?,"the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor",the doctor,0.6650886535644531,1
GP-U-A1,the doctor who was delivered the donor organ assisted several surgeons.,What did the doctor do?,"assisted several surgeons
assisted",assisted several surgeons,0.22551333904266357,1
LC-U-AM,several surgeons assisted the doctor who was delivered the donor organ.,Who assisted the doctor?,"several surgeons
surgeons",several surgeons,0.5010197758674622,1
LC-U-PM,several surgeons assisted the doctor who was delivered the donor organ.,Who was assisted?,"the doctor who was delivered the donor organ
the doctor
doctor who was delivered the donor organ
doctor",the doctor,0.032262932509183884,1
LC-U-PE,several surgeons assisted the doctor who was delivered the donor organ.,Who was delivered the donor organ?,"the doctor
doctor",the doctor,0.461685448884964,1
LC-U-A2,several surgeons assisted the doctor who was delivered the donor organ.,What did the doctor get?,"delivered the donor organ
the donor organ
delivered the donor organ
donor organ",donor organ,0.5230429172515869,1
LC-U-A1,several surgeons assisted the doctor who was delivered the donor organ.,What did several surgeons so?,"assisted the doctor
assisted the doctor who was delivered the donor organ
assisted",assisted the doctor who was delivered the donor organ,0.3416438400745392,1
GP-A-PM,the general awarded the medal annoyed the soldier.,Who was annoyed?,"the soldier
soldier",the soldier,0.6117196083068848,1
GP-A-PE,the general awarded the medal annoyed the soldier.,Who was awarded the medal?,"the general awarded the medal
the general
general awarded the medal
general",the soldier,0.23621271550655365,0
GP-A-A1,the general awarded the medal annoyed the soldier.,What did the general do?,"annoyed the soldier
annoyed",awarded the medal annoyed the soldier,0.30692169070243835,0
LC-A-AM,the soldier annoyed the general awarded the medal.,Who annoyed the general?,"the soldier
soldier",the soldier,0.08209095895290375,1
LC-A-PM,the soldier annoyed the general awarded the medal.,Who was annoyed?,"the general awarded the medal
the general
general awarded the medal
general",the general,0.009157766588032246,1
LC-A-PE,the soldier annoyed the general awarded the medal.,Who was awarded the medal?,"the general
general",the soldier annoyed the general,0.21651017665863037,0
LC-A-A2,the host toasted the golfer cooked a special meal.,What did the golfer get?,"cooked a special meal
a special meal
cooked a special meal
special meal",meal,0.4148899018764496,0
LC-A-A1,the soldier annoyed the general awarded the medal.,What did the soldier do?,"annoyed the general
annoyed the general awarded the medal
annoyed",the general awarded the medal.,0.1126013919711113,0
GP-A-AM,the general awarded the medal annoyed the soldier.,Who annoyed the soldier?,"the general awarded the medal
the general
general awarded the medal
general",the general,0.01866474747657776,1
GP-U-AM,the general who was awarded the medal annoyed the soldier.,Who annoyed the soldier?,"the general who was awarded the medal
the general
general who was awarded the medal
general",the general,0.05882372334599495,1
GP-U-PM,the general who was awarded the medal annoyed the soldier.,Who was annoyed?,"the soldier
soldier",the soldier,0.6104223728179932,1
GP-U-PE,the general who was awarded the medal annoyed the soldier.,Who was awarded the medal?,"the general who was awarded the medal
the general
general who was awarded the medal
general",the general,0.21125613152980804,1
GP-U-A1,the general who was awarded the medal annoyed the soldier.,What did the general do?,"annoyed the soldier
annoyed",annoyed the soldier.,0.21943800151348114,1
LC-U-AM,the soldier annoyed the general who was awarded the medal.,Who annoyed the general?,"the soldier
soldier",the soldier,0.0779871791601181,1
LC-U-PM,the soldier annoyed the general who was awarded the medal.,Who was annoyed?,"the general who was awarded the medal
the general
general who was awarded the medal
general",the general,0.04846329241991043,1
LC-U-PE,the soldier annoyed the general who was awarded the medal.,Who was awarded the medal?,"the general
general",the general,0.4126613438129425,1
LC-U-A2,the soldier annoyed the general who was awarded the medal.,What did the general get?,"awarded the medal
the medal
awarded the medal
medal",the medal,0.6995757222175598,1
LC-U-A1,the soldier annoyed the general who was awarded the medal.,What did the soldier do?,"annoyed the general
annoyed the general who was awarded the medal
annoyed",annoyed the general who was awarded the medal.,0.40432092547416687,1
GP-A-PM,the girl passed a note tattled on the classmate.,Who was tattled on?,"the classmate
classmate",classmate,0.6551494002342224,1
GP-A-PE,the girl passed a note tattled on the classmate.,Who was passed a note?,"the girl passed a note
the girl
girl passed a note
girl",the girl passed a note tattled on the classmate,0.0331270731985569,0
GP-A-A1,the girl passed a note tattled on the classmate.,What did the girl do?,"tattled
tattled on the classmate",passed a note tattled on the classmate,0.7721596360206604,0
GP-A-AM,the girl passed a note tattled on the classmate.,Who tattled?,"the girl passed a note
the girl
girl passed a note
girl",the girl passed a note tattled on the classmate,0.0357089601457119,0
GP-A-PM,the girl played a song photographed the tourist.,Who was photographed?,"the tourist
tourist",the tourist,0.32408130168914795,1
GP-A-PE,the girl played a song photographed the tourist.,Who was played a song?,"the girl played a song
the girl
girl played a song
girl",the girl played a song photographed the tourist,0.010934099555015564,0
GP-A-A1,the girl played a song photographed the tourist.,What did the girl do?,"photographed the tourist
photographed",played a song photographed the tourist,0.4860169291496277,0
LC-A-AM,the tourist photographed the girl played a song.,Who photographed the girl?,"the tourist
tourist",the tourist,0.7768337726593018,1
LC-A-PM,the tourist photographed the girl played a song.,Who was played a song?,"the girl played a song
the girl
girl played a song
girl",the tourist photographed the girl,0.02599269710481167,0
LC-A-PE,the tourist photographed the girl played a song.,Who was photographed?,"the girl
girl",the girl,0.03159274905920029,1
LC-A-A2,the beggar despised the hobo cut a slice of cheese.,What did the hobo get?,"cut a slice of cheese
a slice of cheese
cut a slice of cheese
slice of cheese",cut a slice of cheese,0.27719101309776306,1
LC-A-A1,the tourist photographed the girl played a song.,What did the tourist do?,"photographed the girl
photographed the girl played a song
photographed",photographed the girl played a song.,0.4670708179473877,1
GP-A-AM,the girl played a song photographed the tourist.,Who photographed the tourist?,"the girl played a song
the girl
girl played a song
girl",the girl,0.2960985600948334,1
GP-U-AM,the girl who was passed a note tattled on the classmate.,Who tattled?,"the girl who was passed a note
the girl
girl who was passed a note
girl",the girl who was passed a note tattled on the classmate,0.02991262450814247,0
GP-U-PM,the girl who was passed a note tattled on the classmate.,Who was tattled on?,"the classmate
classmate",classmate,0.41859734058380127,1
GP-U-PE,the girl who was passed a note tattled on the classmate.,Who was passed a note?,"the girl who was passed a note
the girl
girl who was passed a note
girl",the girl,0.3079872131347656,1
GP-U-A1,the girl who was passed a note tattled on the classmate.,What did the girl do?,"tattled
tattled on the classmate",tattled on the classmate,0.31619760394096375,1
GP-U-AM,the girl who was played a song photographed the tourist.,Who photographed the tourist?,"the girl who was played a song
the girl
girl who was played a song
girl",the girl who was played a song,0.6883552670478821,1
GP-U-PM,the girl who was played a song photographed the tourist.,Who was photographed?,"the tourist
tourist",the tourist,0.18805618584156036,1
GP-U-PE,the girl who was played a song photographed the tourist.,Who was played a song?,"the girl who was played a song
the girl
girl who was played a song
girl",the girl,0.20154984295368195,1
GP-U-A1,the girl who was played a song photographed the tourist.,What did the girl do?,"photographed the tourist
photographed",photographed the tourist,0.38663211464881897,1
LC-U-AM,the tourist photographed the girl who was played a song.,Who photographed the girl?,"the tourist
tourist",the tourist,0.8024316430091858,1
LC-U-PM,the tourist photographed the girl who was played a song.,Who was played a song?,"the girl who was played a song
the girl
girl who was played a song
girl",the girl,0.5462990403175354,1
LC-U-PE,the tourist photographed the girl who was played a song.,Who was photographed?,"the girl
girl",the girl,0.24860922992229462,1
LC-U-A2,the tourist photographed the girl who was played a song.,What did the girl get?,"played a song
a song
played a song
song",a song,0.6904900670051575,1
LC-U-A1,the tourist photographed the girl who was played a song.,What did the tourist do?,"photographed the girl
photographed the girl who was played a song
photographed",photographed the girl who was played a song.,0.3779680132865906,1
GP-U-AM,the girl who was won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,"the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl",the girl who was won a stuffed bear,0.22766253352165222,1
GP-U-PM,the girl who was won a stuffed bear ignored the carnival worker.,Who was ignored?,"the carnival worker
carnival worker",the carnival worker,0.5458037853240967,1
GP-U-PE,the girl who was won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?,"the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl",the girl,0.6292315125465393,1
GP-U-A1,the girl who was won a stuffed bear ignored the carnival worker.,What did the girl do?,"ignored the carnival worker
ignored the carnival worker
ignored",ignored the carnival worker,0.25296473503112793,1
LC-U-AM,the carnival worker ignored the girl who was won a stuffed bear.,Who ignored the girl?,"the carnival worker
carnival worker",the carnival worker,0.7804654240608215,1
LC-U-PM,the carnival worker ignored the girl who was won a stuffed bear.,Who was ignored?,"the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl",the girl who was won a stuffed bear.,0.2675059735774994,1
LC-U-PE,the carnival worker ignored the girl who was won a stuffed bear.,Who was won a stuffed bear?,"the girl
girl",girl,0.5336674451828003,1
LC-U-A2,the carnival worker ignored the girl who was won a stuffed bear.,What did the girl get?,"won a stuffed bear
a stuffed bear
won a stuffed bear
stuffed bear",stuffed bear,0.5736768245697021,1
LC-U-A1,the carnival worker ignored the girl who was won a stuffed bear.,What did the carnival worker do?,"ignored the girl
ignored the girl who was won a stuffed bear
ignored",ignored the girl who was won a stuffed bear.,0.33395418524742126,1
GP-A-PM,the girl won a stuffed bear ignored the carnival worker.,Who was ignored?,"the carnival worker
carnival worker",the carnival worker,0.8088486790657043,1
GP-A-PE,the girl won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?,"the girl won a stuffed bear
the girl
girl won a stuffed bear
girl",the girl,0.6550899147987366,1
GP-A-A1,the girl won a stuffed bear ignored the carnival worker.,What did the girl do?,"ignored the carnival worker
ignored the carnival worker
ignored",won a stuffed bear,0.3293609023094177,0
LC-A-AM,the carnival worker ignored the girl won a stuffed bear.,Who ignored the girl?,"the carnival worker
carnival worker",the carnival worker,0.8701388835906982,1
LC-A-PM,the carnival worker ignored the girl won a stuffed bear.,Who was ignored?,"the girl won a stuffed bear
the girl
girl won a stuffed bear
girl",the girl won a stuffed bear.,0.29103124141693115,1
LC-A-PE,the carnival worker ignored the girl won a stuffed bear.,Who was won a stuffed bear?,"the girl
girl",the carnival worker ignored the girl,0.1757006198167801,0
LC-A-A2,the fireman argued with the inspector paid a fee.,What did the inspector get?,"paid a fee
a fee
paid a fee
fee",a fee,0.18216009438037872,1
LC-A-A1,the carnival worker ignored the girl won a stuffed bear.,What did the carnival worker do?,"ignored the girl
ignored the girl won a stuffed bear
ignored",ignored the girl won a stuffed bear.,0.4384380877017975,1
GP-A-AM,the girl won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?,"the girl won a stuffed bear
the girl
girl won a stuffed bear
girl",the girl won a stuffed bear,0.7536277770996094,1
GP-A-PM,the golfer cooked a special meal toasted the host.,Who was toasted?,"the host
host",the golfer cooked a special meal toasted the host,0.018103817477822304,0
GP-A-PE,the golfer cooked a special meal toasted the host.,Who was cooked a special meal?,"the golfer cooked a special meal
the golfer
golfer cooked a special meal
golfer",the golfer,0.2960602939128876,1
GP-A-A1,the golfer cooked a special meal toasted the host.,What did the golfer do?,"toasted the host
toasted",cooked a special meal toasted the host,0.6486233472824097,0
LC-A-AM,the host toasted the golfer cooked a special meal.,Who toasted?,"the host
host",the host,0.1336977183818817,1
LC-A-PM,the host toasted the golfer cooked a special meal.,Who was toasted?,"the golfer cooked a special meal
the golfer
golfer cooked a special meal
golfer",the golfer,0.004418061580508947,1
LC-A-PE,the host toasted the golfer cooked a special meal.,Who was cooked a special meal?,"the golfer
golfer",the golfer,0.1982152909040451,1
LC-A-A2,the dean visited the instructor submitted the plagiarized papers.,What did the instructor get?,"submitted the plagiarized papers
the plagiarized papers
submitted the plagiarized papers
plagiarized papers",submitted the plagiarized papers,0.12415085732936859,1
LC-A-A1,the host toasted the golfer cooked a special meal.,What did the host do?,"toasted the golfer
toasted the golfer cooked a special meal
toasted",toasted,0.44988662004470825,1
GP-A-AM,the golfer cooked a special meal toasted the host.,Who toasted?,"the golfer cooked a special meal
the golfer
golfer cooked a special meal
golfer",the golfer,0.019025836139917374,1
GP-U-AM,the golfer who was cooked a special meal toasted the host.,Who toasted?,"the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer",the golfer who was cooked a special meal toasted the host,0.03090592473745346,0
GP-U-PM,the golfer who was cooked a special meal toasted the host.,Who was toasted?,"the host
host",the golfer who was cooked a special meal toasted the host,0.08003871887922287,0
GP-U-PE,the golfer who was cooked a special meal toasted the host.,Who was cooked a special meal?,"the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer",the golfer,0.3709930181503296,1
GP-U-A1,the golfer who was cooked a special meal toasted the host.,What did the golfer do?,"toasted the host
taosted",cooked a special meal toasted the host,0.3931620419025421,0
LC-U-AM,the host toasted the golfer who was cooked a special meal.,Who toasted?,"the host
host",the host,0.280927449464798,1
LC-U-PM,the host toasted the golfer who was cooked a special meal.,Who was toasted?,"the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer",the golfer,0.18930110335350037,1
LC-U-PE,the host toasted the golfer who was cooked a special meal.,Who was cooked a special meal?,"the golfer
golfer",the golfer,0.7149307727813721,1
LC-U-A2,the host toasted the golfer who was cooked a special meal.,What did the golfer get?,"cooked a special meal
a special meal
cooked a special meal
special meal",a special meal,0.6182779669761658,1
LC-U-A1,the host toasted the golfer who was cooked a special meal.,What did the host do?,"toasted the golfer
toasted the golfer who was cooked a special meal
toasted",toasted,0.4541251063346863,1
GP-A-PM,the hobo cut a slice of cheese despised the beggar.,Who was despised?,"the beggar
beggar",the beggar,0.6844103336334229,1
GP-A-PE,the hobo cut a slice of cheese despised the beggar.,Who was cut a slice of cheese?,"the hobo cut a slice of cheese
the hobo
hobo cut a slice of cheese
hobo",the hobo,0.01474208664149046,1
GP-A-A1,the hobo cut a slice of cheese despised the beggar.,What did the hobo do?,"despised the beggar
despised",cut a slice of cheese despised the beggar.,0.40433570742607117,0
LC-A-AM,the beggar despised the hobo cut a slice of cheese.,Who despised the hobo?,"the beggar
beggar",the beggar,0.5927262306213379,1
LC-A-PM,the beggar despised the hobo cut a slice of cheese.,Who was despised?,"the hobo cut a slice of cheese
the hobo
hobo cut a slice of cheese
hobo",the beggar,0.09593816846609116,0
LC-A-PE,the beggar despised the hobo cut a slice of cheese.,Who was cut a slice of cheese?,"the hobo
hobo",the hobo,0.011791111901402473,1
LC-A-A2,the employees praised the manager prepared the report.,What did the manager get?,"prepared the report
the report
prepared the report
report",the employees praised the manager prepared the report,8.497412636643276e-05,0
LC-A-A1,the beggar despised the hobo cut a slice of cheese.,What did the beggar do?,"despised the hobo
despised the hobo cut a slice of cheese
despised",cut a slice of cheese,0.35317978262901306,0
GP-A-AM,the hobo cut a slice of cheese despised the beggar.,Who despised the beggar?,"the hobo cut a slice of cheese
the hobo
hobo cut a slice of cheese
hobo",the hobo,0.33337098360061646,1
GP-U-AM,the hobo who was cut a slice of cheese despised the beggar.,Who despised the beggar?,"the hobo who was cut a slice of cheese
the hobo
hobo who was cut a slice of cheese
hobo",the hobo,0.6154010891914368,1
GP-U-PM,the hobo who was cut a slice of cheese despised the beggar.,Who was despised?,"the beggar
beggar",the beggar,0.5894332528114319,1
GP-U-PE,the hobo who was cut a slice of cheese despised the beggar.,Who was cut a slice of cheese?,"the hobo who was cut a slice of cheese
the hobo
hobo who was cut a slice of cheese
hobo",the hobo,0.16550381481647491,1
GP-U-A1,the hobo who was cut a slice of cheese despised the beggar.,What did the hobo do?,"despised the beggar
despised",cut a slice of cheese,0.5251510739326477,0
LC-U-AM,the beggar  despised the hobo who was cut a slice of cheese.,Who despised the hobo?,"the beggar 
beggar",the beggar,0.5869542956352234,0
LC-U-PM,the beggar  despised the hobo who was cut a slice of cheese.,Who was despised?,"the hobo who was cut a slice of cheese
the hobo
hobo who was cut a slice of cheese
hobo",the beggar,0.06283184885978699,0
LC-U-PE,the beggar  despised the hobo who was cut a slice of cheese.,Who was cut a slice of cheese?,"the hobo
hobo",the hobo,0.6444364190101624,1
LC-U-A2,the beggar  despised the hobo who was cut a slice of cheese.,What did the hobo get?,"cut a slice of cheese
a slice of cheese
cut a slice of cheese
slice of cheese",cut a slice of cheese,0.4165898859500885,1
LC-U-A1,the beggar  despised the hobo who was cut a slice of cheese.,What did the beggar do?,"despised the hobo
despised the hobo who was cut a slice of cheese
despised",the hobo who was cut a slice of cheese,0.22116751968860626,0
GP-A-PM,the inspector paid a fee argued with the fireman.,Who was argued with?,"the fireman
fireman",the fireman,0.4887307286262512,1
GP-A-PE,the inspector paid a fee argued with the fireman.,Who was paid a fee?,"the inspector paid a fee
the inspector
inspector paid a fee
inspector",the inspector,0.00045532159856520593,1
GP-A-A1,the inspector paid a fee argued with the fireman.,What did the inspector do?,"argued with the fireman
argued",paid a fee,0.41439202427864075,0
GP-A-AM,the inspector paid a fee argued with the fireman.,Who argued?,"the inspector paid a fee
the inspector
inspector paid a fee
inspector",the inspector paid a fee argued with the fireman,0.5450864434242249,0
GP-U-AM,the inspector who was paid a fee argued with the fireman.,Who argued?,"the inspector who was paid a fee
the inspector
inspector who was paid a fee
inspector",the inspector who was paid a fee argued with the fireman,0.4006917476654053,0
GP-U-PM,the inspector who was paid a fee argued with the fireman.,Who was argued with?,"the fireman
fireman",the fireman,0.5865064263343811,1
GP-U-PE,the inspector who was paid a fee argued with the fireman.,Who was paid a fee?,"the inspector who was paid a fee
the inspector
inspector who was paid a fee
inspector",the inspector,0.041920751333236694,1
GP-U-A1,the inspector who was paid a fee argued with the fireman.,What did the inspector do?,"argued with the fireman
argued",paid a fee,0.19403313100337982,0
GP-A-PM,the instructor submitted the plagiarized papers visited the dean.,Who was visited?,"the dean
dean",the dean,0.5027757287025452,1
GP-A-PE,the instructor submitted the plagiarized papers visited the dean.,Who was submitted the plagarized papers?,"the instructor submitted the plagiarized papers
the instructor
instructor submitted the plagiarized papers
instructor",the instructor,0.022580023854970932,1
GP-A-A1,the instructor submitted the plagiarized papers visited the dean.,What did the instructor do?,"visited the dean
visited",submitted the plagiarized papers,0.22838933765888214,0
LC-A-AM,the dean visited the instructor submitted the plagiarized papers.,Who visited the instructor?,"the dean
dean",the dean,0.41937434673309326,1
LC-A-PM,the dean visited the instructor submitted the plagiarized papers.,Who was visited?,"the instructor submitted the plagiarized papers
the instructor
instructor submitted the plagiarized papers
instructor",the instructor,0.10945281386375427,1
LC-A-PE,the dean visited the instructor submitted the plagiarized papers.,Who was submitted the plagarized papers?,"the instructor
instructor",the dean visited the instructor,0.17332109808921814,0
LC-A-A2,the banker bragged to the millionaire sculpted a statue.,What did the millionaire get?,"sculpted a statue
a statue
sculpted a statue
statue",sculpted a statue,0.07345941662788391,1
LC-A-A1,the dean visited the instructor submitted the plagiarized papers.,What did the dean do?,"visited the instructor
visited the instructor submitted the plagiarized papers
visited",instructor submitted the plagiarized papers,0.15413525700569153,0
GP-A-AM,the instructor submitted the plagiarized papers visited the dean.,Who visited the dean?,"the instructor submitted the plagiarized papers
the instructor
instructor submitted the plagiarized papers
instructor",the instructor,0.3348905146121979,1
GP-U-AM,the instructor who was submitted the plagiarized papers visited the dean.,Who visited the dean?,"the instructor who was submitted the plagiarized papers
the instructor
instructor who was submitted the plagiarized papers
instructor",the instructor,0.3667543828487396,1
GP-U-PM,the instructor who was submitted the plagiarized papers visited the dean.,Who was visited?,"the dean
dean",dean,0.21509774029254913,1
GP-U-PE,the instructor who was submitted the plagiarized papers visited the dean.,Who was submitted the plagarized papers?,"the instructor who was submitted the plagiarized papers
the instructor
instructor who was submitted the plagiarized papers
instructor",the instructor,0.23623037338256836,1
GP-U-A1,the instructor who was submitted the plagiarized papers visited the dean.,What did the instructor do?,"visited the dean
visited",instructor who was submitted the plagiarized papers,0.046926096081733704,0
LC-U-AM,the dean visited the instructor who was submitted the plagiarized papers.,Who visited the instructor?,"the dean
dean",the dean,0.10195723176002502,1
LC-U-PM,the dean visited the instructor who was submitted the plagiarized papers.,Who was visited?,"the instructor who was submitted the plagiarized papers
the instructor
instructor who was submitted the plagiarized papers
instructor",the instructor,0.0023670513182878494,1
LC-U-PE,the dean visited the instructor who was submitted the plagiarized papers.,Who was submitted the plagarized papers?,"the instructor
instructor",the instructor,0.48247939348220825,1
LC-U-A2,the dean visited the instructor who was submitted the plagiarized papers.,What did the instructor get?,"submitted the plagiarized papers
the plagiarized papers
submitted the plagiarized papers
plagiarized papers",the plagiarized papers,0.3412580192089081,1
